iter	Passed	Remaining
0	68	68854
1	140	69980
2	205	68188
3	270	67248
4	331	65947
5	399	66246
6	470	66725
7	537	66670
8	599	66041
9	668	66142
10	738	66403
11	814	67085
12	888	67423
13	949	66840
14	1017	66789
15	1075	66170
16	1161	67186
17	1235	67410
18	1319	68133
19	1422	69712
20	1526	71186
21	1598	71077
22	1668	70892
23	1727	70264
24	1793	69965
25	1856	69552
26	1914	69007
27	1983	68866
28	2041	68355
29	2102	67995
30	2172	67922
31	2229	67433
32	2293	67204
33	2363	67141
34	2428	66960
35	2498	66900
36	2561	66671
37	2616	66246
38	2681	66069
39	2738	65722
40	2798	65465
41	2865	65362
42	2925	65107
43	2980	64768
44	3035	64421
45	3097	64229
46	3161	64108
47	3221	63890
48	3280	63677
49	3351	63681
50	3410	63456
51	3471	63285
52	3566	63730
53	3663	64182
54	3731	64112
55	3815	64313
56	3885	64284
57	3944	64057
58	4002	63843
59	4070	63767
60	4131	63599
61	4189	63378
62	4253	63258
63	4310	63047
64	4377	62972
65	4441	62849
66	4504	62728
67	4569	62626
68	4632	62499
69	4699	62436
70	4767	62381
71	4825	62195
72	4899	62216
73	4958	62046
74	5027	62008
75	5095	61950
76	5159	61849
77	5219	61692
78	5275	61507
79	5328	61277
80	5394	61203
81	5459	61121
82	5513	60911
83	5578	60830
84	5647	60792
85	5706	60648
86	5766	60515
87	5825	60370
88	5881	60203
89	5940	60062
90	6004	59974
91	6121	60417
92	6188	60351
93	6260	60340
94	6318	60189
95	6382	60103
96	6442	59977
97	6502	59848
98	6567	59775
99	6626	59635
100	6694	59590
101	6766	59574
102	6829	59477
103	6895	59404
104	6956	59295
105	7015	59169
106	7079	59081
107	7144	59008
108	7217	59000
109	7277	58884
110	7336	58754
111	7419	58823
112	7492	58815
113	7563	58780
114	7631	58730
115	7691	58616
116	7755	58531
117	7814	58409
118	7876	58313
119	7937	58208
120	7997	58097
121	8059	58000
122	8132	57987
123	8188	57850
124	8252	57766
125	8313	57666
126	8377	57588
127	8451	57579
128	8513	57484
129	8584	57449
130	8657	57427
131	8719	57340
132	8792	57319
133	8858	57247
134	8918	57145
135	8979	57043
136	9034	56910
137	9104	56869
138	9164	56765
139	9223	56660
140	9285	56567
141	9351	56506
142	9411	56403
143	9484	56381
144	9553	56330
145	9612	56225
146	9671	56118
147	9737	56056
148	9792	55930
149	9858	55863
150	9921	55781
151	9980	55679
152	10040	55581
153	10096	55462
154	10154	55360
155	10214	55260
156	10277	55184
157	10342	55115
158	10397	54994
159	10475	54995
160	10537	54913
161	10597	54818
162	10662	54750
163	10735	54725
164	10800	54655
165	10865	54589
166	10940	54569
167	10997	54465
168	11066	54416
169	11139	54386
170	11258	54579
171	11334	54564
172	11407	54532
173	11489	54544
174	11565	54523
175	11644	54517
176	11700	54404
177	11764	54330
178	11822	54223
179	11887	54155
180	11955	54097
181	12019	54022
182	12077	53919
183	12143	53853
184	12197	53736
185	12256	53638
186	12317	53552
187	12376	53454
188	12454	53442
189	12541	53467
190	12605	53392
191	12669	53316
192	12738	53262
193	12794	53154
194	12861	53096
195	12922	53009
196	12982	52920
197	13037	52809
198	13100	52729
199	13156	52624
200	13216	52537
201	13271	52429
202	13344	52393
203	13399	52284
204	13461	52205
205	13528	52143
206	13607	52129
207	13687	52119
208	13770	52116
209	13857	52131
210	13926	52074
211	13983	51977
212	14049	51909
213	14113	51837
214	14167	51727
215	14233	51660
216	14291	51566
217	14351	51479
218	14413	51400
219	14489	51371
220	14554	51304
221	14618	51231
222	14683	51161
223	14751	51102
224	14813	51025
225	14875	50944
226	14943	50887
227	15016	50845
228	15078	50766
229	15136	50673
230	15193	50578
231	15259	50512
232	15317	50423
233	15380	50347
234	15445	50279
235	15505	50194
236	15574	50141
237	15635	50058
238	15693	49969
239	15755	49893
240	15812	49799
241	15872	49716
242	15933	49635
243	15995	49560
244	16087	49575
245	16145	49488
246	16204	49400
247	16261	49308
248	16319	49221
249	16390	49172
250	16472	49156
251	16541	49099
252	16615	49058
253	16675	48974
254	16742	48913
255	16804	48838
256	16868	48767
257	16930	48691
258	17003	48647
259	17062	48562
260	17130	48503
261	17204	48461
262	17262	48373
263	17324	48299
264	17402	48266
265	17480	48236
266	17543	48162
267	17603	48080
268	17669	48017
269	17729	47936
270	17785	47844
271	17848	47772
272	17898	47662
273	17962	47595
274	18033	47543
275	18103	47488
276	18159	47398
277	18213	47303
278	18272	47219
279	18336	47150
280	18388	47051
281	18456	46991
282	18510	46897
283	18574	46829
284	18633	46747
285	18686	46650
286	18771	46635
287	18851	46606
288	18913	46531
289	18967	46438
290	19029	46364
291	19090	46288
292	19152	46215
293	19207	46125
294	19266	46043
295	19333	45982
296	19388	45892
297	19459	45841
298	19516	45755
299	19577	45680
300	19636	45599
301	19693	45517
302	19757	45449
303	19821	45381
304	19882	45306
305	19940	45225
306	19996	45138
307	20066	45085
308	20130	45017
309	20189	44937
310	20249	44862
311	20317	44803
312	20373	44717
313	20436	44648
314	20499	44577
315	20566	44517
316	20631	44451
317	20687	44367
318	20742	44280
319	20808	44218
320	20866	44139
321	20932	44074
322	20989	43993
323	21055	43930
324	21120	43866
325	21207	43846
326	21283	43803
327	21384	43812
328	21478	43804
329	21558	43770
330	21641	43740
331	21703	43669
332	21760	43585
333	21821	43511
334	21879	43432
335	21932	43343
336	21993	43268
337	22054	43196
338	22118	43128
339	22180	43056
340	22237	42974
341	22292	42890
342	22363	42836
343	22431	42776
344	22491	42700
345	22557	42636
346	22627	42581
347	22686	42505
348	22751	42438
349	22810	42362
350	22864	42276
351	22922	42198
352	22976	42113
353	23029	42025
354	23089	41950
355	23150	41878
356	23206	41797
357	23263	41718
358	23322	41643
359	23384	41571
360	23446	41501
361	23509	41434
362	23600	41414
363	23677	41371
364	23760	41337
365	23835	41289
366	23913	41245
367	23977	41178
368	24044	41116
369	24103	41041
370	24161	40963
371	24218	40885
372	24278	40810
373	24347	40753
374	24415	40692
375	24473	40616
376	24542	40556
377	24607	40491
378	24664	40413
379	24724	40339
380	24787	40270
381	24861	40220
382	24931	40163
383	24990	40089
384	25055	40023
385	25115	39950
386	25163	39859
387	25226	39790
388	25289	39722
389	25357	39661
390	25417	39588
391	25474	39510
392	25535	39439
393	25602	39378
394	25659	39301
395	25723	39235
396	25779	39156
397	25836	39079
398	25900	39013
399	25978	38967
400	26056	38921
401	26134	38876
402	26196	38807
403	26260	38741
404	26326	38677
405	26386	38605
406	26451	38539
407	26513	38471
408	26576	38402
409	26637	38332
410	26697	38259
411	26778	38217
412	26892	38223
413	26960	38161
414	27018	38086
415	27073	38007
416	27153	37963
417	27215	37893
418	27285	37835
419	27376	37805
420	27445	37745
421	27509	37678
422	27582	37623
423	27633	37540
424	27695	37469
425	27756	37399
426	27815	37326
427	27876	37255
428	27941	37190
429	27994	37108
430	28071	37059
431	28135	36992
432	28196	36922
433	28263	36859
434	28333	36800
435	28399	36736
436	28458	36664
437	28521	36596
438	28573	36513
439	28640	36451
440	28702	36382
441	28758	36306
442	28822	36239
443	28907	36199
444	28970	36131
445	29043	36076
446	29108	36011
447	29160	35929
448	29224	35863
449	29292	35801
450	29348	35725
451	29407	35653
452	29471	35586
453	29547	35535
454	29605	35461
455	29689	35419
456	29749	35347
