OUTLET_CODE,SALES_UNITS,UNIT_PTR,FREQUENCY,PRODUCT_CODE_ENCODED,CLUSTER
OL10328,6.5,72.34434681938725,34,55.6764705882353,0
OL10329,5.887179487179488,84.46062271024483,195,51.98974358974359,1
OL10330,5.452006980802793,174.7700546973794,573,48.167539267015705,1
OL10331,1.7755102040816326,171.5398886810204,49,44.10204081632653,1
OL10332,28.598639455782312,8.879980564487278,147,46.006802721088434,0
OL10333,1.3218390804597702,152.9885057424521,87,37.9080459770115,1
OL10335,8.266666666666667,111.29576376053389,105,47.44761904761905,1
OL10338,24.615384615384617,9.615384614855769,13,37.76923076923077,0
OL10339,16.0,8.92857143125,1,35.0,0
OL10340,35.109756097560975,49.113280014187204,164,51.76829268292683,0
OL10341,17.0625,8.816964288131894,16,56.25,0
OL10343,19.8125,7.924107144084712,32,44.25,0
OL10345,20.571428571428573,7.493622449784226,28,49.75,0
OL10346,4.477430555555555,168.06799392793292,576,48.71875,1
OL10347,6.150997150997151,170.6103156114791,351,47.98575498575499,1
OL10349,17.6,8.035714287500001,5,58.2,0
OL10350,8.864077669902912,69.39414954095295,103,41.03883495145631,0
OL10352,17.11111111111111,14.924242423287037,9,43.888888888888886,0
OL10353,13.0,53.19661955865653,34,42.705882352941174,0
OL10354,11.714285714285714,49.23469387946428,7,51.42857142857143,0
OL10355,16.0,8.92857143125,1,60.0,0
OL10356,9.147058823529411,92.35628342276348,34,41.85294117647059,0
OL10357,21.516129032258064,9.058179724228667,62,46.54838709677419,0
OL10358,12.054945054945055,200.14791755235765,728,44.83379120879121,1
OL10359,13.356521739130434,75.0073404861184,115,46.6695652173913,0
OL10360,16.307692307692307,11.038961041225964,26,49.88461538461539,0
OL10361,17.661290322580644,19.658567240326533,62,58.983870967741936,0
OL10362,16.0,8.92857143125,2,70.0,0
OL10364,17.136986301369863,90.6821517516481,146,47.821917808219176,1
OL10365,25.23076923076923,8.413461539663462,26,56.26923076923077,0
OL10366,20.4,8.258928573020833,20,50.15,0
OL10369,19.120805369127517,18.80033557213869,149,47.13422818791946,0
OL10370,16.37037037037037,11.976911977835877,27,51.333333333333336,0
OL10371,16.431192660550458,68.68283093231268,109,56.88073394495413,0
OL10372,23.085714285714285,8.87755102215278,35,56.68571428571428,0
OL10374,6.9375,94.21440166802587,112,59.955357142857146,0
OL10375,19.2,16.901515149305556,15,49.86666666666667,0
OL10376,16.2,12.663419914908333,15,51.4,0
OL10377,16.0,8.92857143125,1,12.0,0
OL10378,5.483870967741935,75.45035608231183,31,61.064516129032256,0
OL10379,26.545454545454547,113.70228257395597,33,44.18181818181818,0
OL10380,11.0,38.98268398416666,3,61.0,0
OL10381,15.0,7.812500001979167,8,52.5,0
OL10382,9.84375,58.85247564309245,32,56.90625,0
OL10384,20.0,6.696428571875,8,57.0,0
OL10385,11.735849056603774,40.822408722731915,53,54.264150943396224,0
OL10386,8.209700427960057,178.6273165692809,701,42.43223965763195,1
OL10387,3.457627118644068,129.6136913952966,59,51.016949152542374,1
